Group_Score,Reporting_Date,Encrypted_Name
10,2022-11-29 03:50:47.682154,125f64e756e448257bc9863e99923f98e602f724e4bade5eab78e12eb5d1ef1e
10,2022-11-29 03:50:47.682154,8ed7a4700e25b60de58a803a2ddcc6e37236c29854a876c2024d6daf6e7b5640
7,2022-11-29 03:50:47.682154,38ec07443ea9368403f62411dcbb300ba270bb5cd61588381e01e22a05adb008
7,2022-11-29 03:50:47.682154,2022b2e18fbfe9cc10748775c3e60832543c1c55e9d3635f32d453d21807af51
7,2022-11-29 03:50:47.682154,8a9017c181c938deb8026506b42183fc95bb8883220d098fbcb801b47480b813
7,2022-11-29 03:50:47.682154,772c22e44cebd29cba334b88a511c139f84971cd08b8989c3edc408fdf76f797
5,2022-11-29 03:50:47.682154,59af4d8274c3db36de829cd3db7166d48e83321ebbc11d1ba4c2fffdd97b1053
5,2022-11-29 03:50:47.682154,82bf9723ffbe8434289870855b91ebc195398dd5bdda9ba15a09b1c94736c5e4
5,2022-11-29 03:50:47.682154,213ec25f88cf8b19ea9091426efa69ded46d1dedf0d3b5420fc9823c40b00ede
5,2022-11-29 03:50:47.682154,764abe59d9d9e1066bd85fc9ae139e822fbb120b9bbdc95c92bbfa290115b262
5,2022-11-29 03:50:47.682154,d33f495445cba37a745d06fe5a1eb430bb6dd09a0878ce2b5a80e68e187b0904
5,2022-11-29 03:50:47.682154,02a445665dd7a2ffb284f98aac3dcf0f09f7813ab6da80d157470318cf295201
5,2022-11-29 03:50:47.682154,f651af8b07e29c265f80ddea7f44200f9f61ac6dde5589aaaa1e8299220b057c
5,2022-11-29 03:50:47.682154,71ffab8984f16f1639b113dd92d4e171b49e3688735773b4cf325e44a64ed644
5,2022-11-29 03:50:47.682154,4f3eabe2782e73c68febf212d535e6f7432de1753edde5c8dd04d825cf948251
5,2022-11-29 03:50:47.682154,95c02f2b716f331727772e5ddbb9ff9fb069cf855e4988a4fe49a5941a971960
2,2022-11-29 03:50:47.682154,e3e4480531d6677068e5d8e1c82c1d5e9834ed82cb5c29014df017e0adc1aae4
2,2022-11-29 03:50:47.682154,af951a13a676f58937d74e9a121082fcbff08e27043f270a97e44129f92a9cd0
0,2022-11-29 03:50:47.682154,0d6b452b5439ff3de1a10f743083b9357273c615b73acfa64fc21394980acb62
0,2022-11-29 03:50:47.682154,492b06acd0b41ddbf0586d03d578e37333e400edd2437459859f8d997ec6603b
